slot,tx_count,compute_units
110593137,2257,2217399
110593138,1621,1817994
110593139,1135,1145899
110593140,1435,1222268
110593141,2007,1783612
110593142,1910,1573368
110593143,873,1431005
110593144,3592,3530582
110593145,1761,1903251
110593146,1267,1308492
110593147,1311,1700596
110593148,3287,2523415
110593149,897,2002420
110593150,2439,2286843
110593151,1263,1580349
110593152,0,0
110593153,0,0
110593154,0,0
110593155,0,0
110593156,1444,1922719
110593157,1216,2255829
110593158,1072,1541571
110593159,731,1684492
110593160,1880,1527675
110593161,1434,1378599
110593162,1570,1806635
110593163,1786,1307789
110593164,2613,1884464
110593165,1618,2439140
110593166,1422,1443187
110593167,1087,1777294
110593168,2782,1411802
110593169,1328,1635558
110593170,1815,2046993
110593171,959,1358131
110593172,1816,1587760
110593173,1857,1492447
110593174,1516,2066211
110593175,1621,2007112
110593176,2926,2426721
110593177,1167,2631865
110593178,1060,1508275
110593179,1623,1391879
110593180,3134,1955866
110593181,971,1804192
110593182,1027,1550770
110593183,2143,1636979
110593184,1654,1391278
110593185,1640,2592824
110593186,2127,2103942
110593187,808,1788057
110593188,3364,3188909
110593189,791,3449087
110593190,1330,1496125
110593191,764,3158592
110593192,1451,1034275
110593193,1667,1740383
110593194,1958,1715931
110593195,1419,1715403
110593196,2132,1589617
110593197,1972,2162322
110593198,1511,1812537
110593199,847,662891
110593200,2292,1326962
110593201,1298,883407
110593202,1571,1487718
110593203,1094,989806
110593204,1308,1492588
110593205,1921,2565340
110593206,1451,1591577
110593207,1118,1109595
110593208,2609,1897199
110593209,2090,2747389
110593210,2121,2195582
110593211,1037,2595581
110593212,1516,850933
110593213,1361,1441179
110593214,1100,942538
110593215,832,1298502
110593216,2861,2233552
110593217,3072,2816048
110593218,780,2896944
110593219,2734,2156102
110593220,1936,883691
110593221,1151,1395287
110593222,957,1168372
110593223,1583,1280922
110593224,1661,1881151
110593225,1758,1942073
110593226,1704,1737248
110593227,218,821345
110593228,2608,2606403
110593229,2413,2952450
110593230,1433,2929796
110593231,1180,2078564
110593232,4068,3532994
110593233,1426,1996391
110593234,1346,1128099
110593235,1304,1567060
110593236,2783,1752161
110593237,1298,2009203
110593238,1726,1458813
110593239,1269,1961320
110593240,3282,2661243
110593241,549,2300365
110593242,1991,1218239
110593243,842,1921906
110593244,1646,1766009
110593245,1833,1783056
110593246,1968,1100533
110593247,606,1535457
110593248,3487,2154378
110593249,1031,1707633
110593250,2089,1129073
110593251,658,1550235
110593252,1374,952517
110593253,1567,1652533
110593254,1807,1460519
110593255,1212,1362326
110593256,1652,1505158
110593257,1649,1673663
110593258,1489,1706684
110593259,1323,1568351
110593260,1927,1653898
110593261,2333,1683251
110593262,1733,1609690
110593263,651,1130518
110593264,1320,1363149
110593265,1446,1281762
110593266,1690,1942353
110593267,1424,1123504
110593268,1902,1316480
110593269,1996,1504864
110593270,1742,2128513
110593271,1334,1977217
110593272,3119,2857558
110593273,2144,2127271
110593274,1434,1628957
110593275,782,2602693
110593276,1626,1334440
110593277,1778,1346842
110593278,1930,1643979
110593279,1353,1954765
110593280,1834,88244
110593281,1690,1156040
110593282,1334,1006923
110593283,452,1357176
110593284,2416,3263666
110593285,2192,1981415
110593286,1602,1893222
110593287,865,1859831
110593288,1516,1097344
110593289,2012,1820944
110593290,1452,1558194
110593291,1734,1310647
110593292,1200,1300075
110593293,1694,1642488
110593294,1750,1604063
110593295,2009,2021666
110593296,2817,2202537
110593297,1980,1907443
110593298,1367,1785023
110593299,1253,1524462
110593300,3371,2521650
110593301,916,2427112
110593302,275,845619
110593303,2829,1604785
110593304,2440,1713600
110593305,753,2787785
110593306,1844,2967411
110593307,831,1913609
110593308,795,498099
110593309,841,764150
110593310,1037,931848
110593311,1291,1034683
110593312,1836,1120699
110593313,1427,1410660
110593314,1081,855358
110593315,1365,1177806
110593316,1492,784310
110593317,1752,1992059
110593318,1874,1198045
110593319,1559,1125296
110593320,1101,538624
110593321,1220,1087965
110593322,1235,1190027
110593323,1329,1246670
110593324,3601,3343773
110593325,2904,4043577
110593326,2238,3473606
110593327,1369,4605290
110593328,1514,378725
110593329,1078,860887
110593330,1185,548272
110593331,1175,1302137
110593332,3455,4582908
110593333,1824,3137458
110593334,2540,3877855
110593335,1272,2237309
110593336,3658,2239561
110593337,654,3042750
110593338,2724,2232569
110593339,818,2467124
110593340,1564,1349990
110593341,1384,1687338
110593342,1682,1868423
